Level	Rule Name	Subject	Property	Value
ERROR	missing_label	obo:OBI_0000931	rdfs:label		
ERROR	missing_label	obo:OBI_0000922	rdfs:label		
ERROR	missing_label	obo:OBI_0000924	rdfs:label		
ERROR	missing_label	obo:OBI_0000927	rdfs:label		
ERROR	missing_label	obo:OBI_0000806	rdfs:label		
ERROR	missing_label	obo:OBI_0600014	rdfs:label		
ERROR	missing_label	obo:NCBITaxon_2	rdfs:label		
ERROR	ontology_metadata	obo:ICO.owl	dc:license		
ERROR	ontology_metadata	obo:ICO.owl	dc11:title		
ERROR	misused_obsolete_label	oboInOwl:ObsoleteClass	rdfs:label		
ERROR	multiple_labels	obo:RO_0000057	rdfs:label		
ERROR	multiple_labels	obo:OBI_0000312	rdfs:label		
ERROR	multiple_labels	obo:IAO_0000115	rdfs:label		
ERROR	multiple_labels	obo:IAO_0000111	rdfs:label		
ERROR	multiple_labels	obo:RO_0000053	rdfs:label		
WARN	annotation_whitespace	obo:BFO_0000019	obo:IAO_0000602		
WARN	annotation_whitespace	obo:RO_0002093	rdfs:comment		
WARN	annotation_whitespace	obo:BFO_0000015	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000016	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000017	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000018	obo:IAO_0000602		
WARN	annotation_whitespace	obo:RO_0002299	obo:IAO_0000112		
WARN	annotation_whitespace	obo:RO_0002256	obo:IAO_0000119		
WARN	annotation_whitespace	obo:IAO_0000592	obo:IAO_0000115		
WARN	annotation_whitespace	obo:RO_0000300	obo:IAO_0000426		
WARN	annotation_whitespace	obo:RO_HOM0000036	oboInOwl:hasExactSynonym		
WARN	annotation_whitespace	obo:RO_0002402	obo:IAO_0000115		
WARN	annotation_whitespace	obo:RO_0002326	obo:IAO_0000232		
WARN	annotation_whitespace	obo:BFO_0000011	obo:IAO_0000602		
WARN	annotation_whitespace	obo:IAO_0020001	obo:IAO_0000115		
WARN	annotation_whitespace	obo:IAO_0000115	obo:IAO_0000116		
WARN	annotation_whitespace	obo:IAO_0020002	obo:IAO_0000115		
WARN	annotation_whitespace	obo:IAO_0000595	obo:IAO_0000115		
WARN	annotation_whitespace	obo:BFO_0000008	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000009	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000004	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000006	obo:IAO_0000602		
WARN	annotation_whitespace	obo:RO_0002161	obo:IAO_0000425		
WARN	annotation_whitespace	obo:RO_0002163	obo:IAO_0000116		
WARN	annotation_whitespace	obo:RO_0002120	obo:IAO_0000115		
WARN	annotation_whitespace	obo:RO_0002514	obo:IAO_0000115		
WARN	annotation_whitespace	obo:RO_0002356	obo:IAO_0000115		
WARN	annotation_whitespace	obo:BFO_0000002	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000003	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000040	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000038	obo:IAO_0000602		
WARN	annotation_whitespace	obo:RO_0002110	obo:IAO_0000115		
WARN	annotation_whitespace	obo:RO_0001018	obo:IAO_0000116		
WARN	annotation_whitespace	obo:RO_0002504	obo:IAO_0000116		
WARN	annotation_whitespace	obo:RO_0002103	obo:IAO_0000115		
WARN	annotation_whitespace	obo:BFO_0000034	obo:IAO_0000602		
WARN	annotation_whitespace	obo:IAO_0000579	obo:IAO_0000112		
WARN	annotation_whitespace	obo:IAO_0020023	obo:IAO_0000112		
WARN	annotation_whitespace	obo:OMRSE_00000022	rdfs:comment		
WARN	annotation_whitespace	obo:BFO_0000035	obo:IAO_0000602		
WARN	annotation_whitespace	obo:IAO_0000575	obo:IAO_0000112		
WARN	annotation_whitespace	obo:BFO_0000031	obo:IAO_0000602		
WARN	annotation_whitespace	obo:IAO_0020008	obo:IAO_0000115		
WARN	annotation_whitespace	obo:IAO_0000617	obo:IAO_0000112		
WARN	annotation_whitespace	obo:BFO_0000026	obo:IAO_0000602		
